OBJECTID,CECPlantID,PlantName,Retired Plant,Operator Company,County,Capacity_Latest,Units,PriEnergySource,StartDate,x,y
2546,H0395,Poe,0,Pacific Gas & Electric (PG&E),Butte,120,"Unit 548, Unit 549",WAT,10/26/1958 0:00,-121.4697486,39.72284307
2547,H0209,Graeagle,0,Northern California Power Agency,Plumas,0.44,1,WAT,12/28/1981 0:00,-120.6328788,39.75484573
2548,G0461,Portola - Retired 12/31/2002,1,Sierra Pacific Resources,Plumas,6,"1, 2, 3",OIL,1/1/1965 0:00,-120.4642052,39.8039602
2549,S9313,Pristine Sun Fund 5 LLC_(2040_Alvares),0,Not Available,Tehama,1.5,Unit 1,SUN,12/31/2013 0:00,-122.1731008,39.94942142
2550,S9315,Pristine Sun Fund 5 LLC_(2039_Flournoy),0,Not Available,Tehama,1,Unit 1,SUN,12/31/2013 0:00,-122.1731908,39.94734973
2551,S9317,Pristine Sun Fund 5 LLC_(2020_Rolf),0,Not Available,Tehama,0.5,Unit 1,SUN,12/31/2013 0:00,-122.1739188,39.93669157
2552,H0130,DeSabla,0,Pacific Gas & Electric (PG&E),Butte,18.5,Unit 543,WAT,2/28/1963 0:00,-121.6321934,39.8708089
2553,H0192,Forks of Butte Hydro Project,0,Hypower Inc,Butte,13.3,GEN 1,WAT,3/1/1992 0:00,-121.6317971,39.86918366
2554,H0518,Toadtown,0,Pacific Gas & Electric (PG&E),Butte,1.8,1,WAT,4/1/1986 0:00,-121.5933618,39.89346163
2555,H0023,Belden,0,Pacific Gas & Electric (PG&E),Plumas,117.9,Unit 552,WAT,9/14/1969 0:00,-121.2494064,40.00751132
2556,H0052,Bucks Creek,0,Pacific Gas & Electric (PG&E),Plumas,58,"Unit 530, Unit 531",WAT,3/4/1928 0:00,-121.3277172,39.91056394
2557,H0213,Grizzly,0,Silicon Valley Power,Plumas,21,1,WAT,11/1/1993 0:00,-121.2792873,39.8892311
2558,H0417,Rock Creek,0,Pacific Gas & Electric (PG&E),Plumas,112,"Unit 550, Unit 551",WAT,3/1/1950 0:00,-121.3453435,39.90517451
2559,E0081,SPI - Quincy,0,Sierra Pacific Industries Inc,Plumas,62.77,"GEN 1, GEN 2, GEN 3",WDS,12/1/1986 0:00,-120.9090557,39.94125963
2560,T0077,Dixie Valley Geothermal (Nevada),0,Terra-Gen Dixie Valley LLC,Churchill,66.7,"Unit 1, Unit 2",GEO,7/5/1987 0:00,-117.8552826,39.96727361
2561,H0428,Kekawaka,0,Grey Rock LLC,Trinity,5,KEK1,WAT,12/1/1989 0:00,-123.509046,40.09411993
2562,H0512,Three Forks Water Power Project,0,Norman Ross Burgess,Trinity,1.3,Unit 1,WAT,12/28/1984 0:00,-123.5231383,40.19983788
2563,S9316,Pristine Sun Fund 5 LLC_(2158_Stroing),0,Not Available,Tehama,0.75,Unit 1,SUN,12/31/2013 0:00,-122.3314487,40.18266361
2564,G0897,Red Bluff,0,California Power Holdings LLC,Tehama,44.8,"Unit 1, Unit 10, Unit 11, Unit 12, Unit 13, Unit 14, Unit 15, Unit 16, Unit 2, Unit 3, Unit 4, Unit 5, Unit 6, Unit 7, Unit 8, Unit 9",NG,7/1/2001 0:00,-122.212457,40.15018176
